,adjunct_island,principle_A_c_command,anaphor_number_agreement,principle_A_domain_2,determiner_noun_agreement_with_adjective_1,irregular_plural_subject_verb_agreement_2,distractor_agreement_relative_clause,wh_questions_subject_gap_long_distance,left_branch_island_simple_question,wh_vs_that_no_gap_long_distance,sentential_negation_npi_licensor_present,principle_A_case_2,determiner_noun_agreement_2,principle_A_reconstruction,existential_there_quantifiers_1,npi_present_2,wh_island,wh_questions_object_gap,tough_vs_raising_1,passive_1,ellipsis_n_bar_2,only_npi_scope,determiner_noun_agreement_with_adj_irregular_1,existential_there_subject_raising,wh_vs_that_no_gap,distractor_agreement_relational_noun,regular_plural_subject_verb_agreement_1,determiner_noun_agreement_irregular_1,superlative_quantifiers_1,principle_A_domain_3,expletive_it_object_raising,passive_2,ellipsis_n_bar_1,tough_vs_raising_2,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement_with_adj_2,animate_subject_passive,anaphor_gender_agreement,irregular_past_participle_adjectives,regular_plural_subject_verb_agreement_2,drop_argument,wh_questions_subject_gap,determiner_noun_agreement_irregular_2,superlative_quantifiers_2,coordinate_structure_constraint_object_extraction,matrix_question_npi_licensor_present,animate_subject_trans,principle_A_case_1,transitive,existential_there_object_raising,determiner_noun_agreement_1,coordinate_structure_constraint_complex_left_branch,existential_there_quantifiers_2,npi_present_1,irregular_plural_subject_verb_agreement_1,principle_A_domain_1,intransitive,sentential_negation_npi_scope,sentential_subject_island,inchoative,irregular_past_participle_verbs,complex_NP_island,wh_vs_that_with_gap_long_distance,wh_vs_that_with_gap,causative,left_branch_island_echo_question,only_npi_licensor_present
coordinate_structure_constraint_object_extraction,4.0,11.0,2.0,41.0,13.0,8.0,19.0,13.0,136.0,10.0,3.0,34.0,11.0,108.0,3.0,10.0,25.0,73.0,25.0,13.0,22.0,9.0,19.0,15.0,17.0,4.0,0.0,11.0,21.0,31.0,11.0,48.0,36.0,20.0,17.0,14.0,11.0,2.0,4.0,8.0,24.0,11.0,17.0,4.0,768.0,0.0,6.0,10.0,50.0,11.0,11.0,14.0,1.0,20.0,3.0,22.0,7.0,8.0,139.0,15.0,11.0,18.0,53.0,53.0,47.0,10.0,6.0
matrix_question_npi_licensor_present,2.0,11.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,4.0,12.0,4.0,0.0,1.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,14.0,20.0,8.0,0.0,0.0,2.0,0.0,7.0,0.0,768.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,4.0,0.0,14.0,0.0,1.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,20.0
animate_subject_trans,8.0,3.0,14.0,3.0,13.0,17.0,18.0,5.0,6.0,6.0,11.0,4.0,11.0,11.0,11.0,5.0,14.0,4.0,8.0,15.0,15.0,16.0,12.0,5.0,4.0,7.0,20.0,9.0,10.0,4.0,15.0,19.0,13.0,23.0,15.0,15.0,21.0,67.0,11.0,11.0,13.0,7.0,14.0,4.0,6.0,2.0,768.0,27.0,29.0,6.0,12.0,7.0,17.0,6.0,2.0,15.0,3.0,0.0,5.0,2.0,3.0,7.0,10.0,4.0,16.0,7.0,21.0
principle_A_case_1,16.0,9.0,13.0,36.0,28.0,16.0,22.0,10.0,26.0,58.0,48.0,46.0,33.0,4.0,8.0,12.0,8.0,14.0,11.0,32.0,11.0,13.0,27.0,30.0,60.0,5.0,11.0,22.0,13.0,18.0,26.0,21.0,18.0,19.0,23.0,29.0,8.0,4.0,11.0,8.0,28.0,24.0,17.0,15.0,10.0,0.0,27.0,768.0,61.0,30.0,31.0,17.0,10.0,11.0,20.0,42.0,29.0,26.0,11.0,19.0,32.0,4.0,18.0,12.0,25.0,15.0,6.0
transitive,28.0,12.0,15.0,29.0,59.0,39.0,52.0,7.0,24.0,48.0,28.0,125.0,60.0,2.0,3.0,27.0,18.0,13.0,55.0,154.0,30.0,19.0,61.0,38.0,54.0,33.0,46.0,47.0,2.0,23.0,50.0,98.0,26.0,34.0,68.0,54.0,61.0,14.0,7.0,31.0,46.0,44.0,69.0,21.0,50.0,2.0,29.0,61.0,768.0,59.0,56.0,24.0,6.0,23.0,57.0,38.0,32.0,53.0,13.0,36.0,32.0,11.0,41.0,40.0,80.0,5.0,4.0
existential_there_object_raising,7.0,14.0,23.0,24.0,73.0,58.0,70.0,3.0,37.0,34.0,6.0,85.0,77.0,9.0,12.0,24.0,21.0,11.0,14.0,56.0,8.0,2.0,74.0,169.0,30.0,45.0,28.0,74.0,5.0,26.0,163.0,65.0,17.0,84.0,81.0,70.0,14.0,16.0,44.0,49.0,12.0,13.0,62.0,15.0,11.0,0.0,6.0,30.0,59.0,768.0,68.0,21.0,1.0,22.0,56.0,17.0,17.0,13.0,10.0,17.0,49.0,8.0,25.0,15.0,24.0,16.0,0.0
determiner_noun_agreement_1,20.0,0.0,22.0,7.0,588.0,153.0,152.0,9.0,31.0,11.0,14.0,58.0,677.0,4.0,16.0,34.0,25.0,2.0,34.0,42.0,26.0,0.0,469.0,26.0,30.0,176.0,82.0,541.0,7.0,35.0,6.0,58.0,28.0,42.0,494.0,579.0,22.0,6.0,80.0,183.0,60.0,9.0,552.0,5.0,11.0,0.0,12.0,31.0,56.0,68.0,768.0,13.0,13.0,31.0,160.0,13.0,89.0,21.0,5.0,91.0,98.0,0.0,38.0,34.0,46.0,4.0,0.0
coordinate_structure_constraint_complex_left_branch,19.0,21.0,27.0,12.0,20.0,17.0,23.0,6.0,218.0,12.0,3.0,5.0,18.0,5.0,9.0,12.0,3.0,3.0,1.0,5.0,9.0,0.0,20.0,33.0,16.0,3.0,20.0,12.0,4.0,15.0,17.0,5.0,9.0,10.0,21.0,20.0,7.0,9.0,20.0,20.0,2.0,1.0,17.0,1.0,14.0,0.0,7.0,17.0,24.0,21.0,13.0,768.0,3.0,23.0,22.0,7.0,10.0,5.0,9.0,12.0,9.0,16.0,29.0,7.0,22.0,26.0,1.0
existential_there_quantifiers_2,0.0,9.0,0.0,3.0,12.0,0.0,1.0,2.0,0.0,1.0,21.0,4.0,7.0,3.0,57.0,2.0,0.0,7.0,0.0,2.0,4.0,20.0,11.0,0.0,1.0,2.0,0.0,7.0,9.0,4.0,2.0,0.0,2.0,1.0,9.0,13.0,4.0,3.0,4.0,0.0,7.0,4.0,10.0,17.0,1.0,5.0,17.0,10.0,6.0,1.0,13.0,3.0,768.0,1.0,4.0,2.0,3.0,12.0,0.0,1.0,3.0,5.0,0.0,0.0,6.0,2.0,17.0
npi_present_1,3.0,5.0,27.0,19.0,28.0,20.0,18.0,13.0,2.0,13.0,2.0,15.0,36.0,6.0,14.0,442.0,2.0,7.0,15.0,6.0,2.0,4.0,31.0,25.0,22.0,15.0,39.0,28.0,4.0,12.0,25.0,9.0,11.0,13.0,27.0,21.0,8.0,22.0,8.0,19.0,31.0,17.0,29.0,31.0,20.0,4.0,6.0,11.0,23.0,22.0,31.0,23.0,1.0,768.0,26.0,18.0,17.0,7.0,15.0,20.0,25.0,6.0,17.0,15.0,22.0,6.0,4.0
irregular_plural_subject_verb_agreement_1,2.0,9.0,70.0,9.0,177.0,425.0,261.0,0.0,13.0,7.0,28.0,78.0,171.0,0.0,14.0,36.0,33.0,0.0,14.0,44.0,1.0,2.0,169.0,77.0,19.0,408.0,209.0,152.0,1.0,17.0,0.0,37.0,4.0,29.0,167.0,182.0,5.0,6.0,123.0,443.0,31.0,2.0,146.0,0.0,3.0,0.0,2.0,20.0,57.0,56.0,160.0,22.0,4.0,26.0,768.0,1.0,24.0,28.0,0.0,39.0,109.0,0.0,5.0,2.0,42.0,0.0,0.0
principle_A_domain_1,25.0,3.0,0.0,16.0,14.0,2.0,5.0,16.0,19.0,23.0,16.0,22.0,13.0,38.0,7.0,19.0,9.0,51.0,16.0,24.0,27.0,29.0,12.0,14.0,24.0,0.0,0.0,8.0,15.0,10.0,9.0,43.0,51.0,9.0,13.0,13.0,46.0,14.0,1.0,0.0,22.0,17.0,17.0,23.0,22.0,14.0,15.0,42.0,38.0,17.0,13.0,7.0,2.0,18.0,1.0,768.0,12.0,5.0,33.0,14.0,12.0,15.0,13.0,13.0,25.0,35.0,17.0
intransitive,71.0,2.0,17.0,17.0,78.0,59.0,55.0,14.0,25.0,36.0,15.0,26.0,88.0,8.0,13.0,14.0,23.0,4.0,54.0,25.0,39.0,5.0,79.0,24.0,38.0,20.0,28.0,57.0,16.0,26.0,3.0,17.0,31.0,53.0,68.0,67.0,23.0,7.0,29.0,50.0,353.0,16.0,64.0,18.0,7.0,0.0,3.0,29.0,32.0,17.0,89.0,10.0,3.0,17.0,24.0,12.0,768.0,19.0,9.0,401.0,31.0,20.0,61.0,102.0,32.0,22.0,0.0
sentential_negation_npi_scope,17.0,1.0,5.0,8.0,29.0,25.0,37.0,13.0,12.0,87.0,320.0,70.0,25.0,2.0,17.0,18.0,13.0,0.0,58.0,21.0,24.0,40.0,26.0,8.0,81.0,9.0,24.0,22.0,3.0,31.0,13.0,3.0,15.0,14.0,28.0,30.0,5.0,3.0,14.0,26.0,19.0,24.0,29.0,1.0,8.0,1.0,0.0,26.0,53.0,13.0,21.0,5.0,12.0,7.0,28.0,5.0,19.0,768.0,4.0,21.0,19.0,2.0,9.0,17.0,22.0,15.0,3.0
sentential_subject_island,15.0,11.0,0.0,41.0,7.0,2.0,0.0,39.0,52.0,17.0,9.0,3.0,5.0,204.0,4.0,13.0,18.0,172.0,13.0,3.0,14.0,12.0,7.0,10.0,18.0,0.0,0.0,5.0,15.0,14.0,8.0,26.0,21.0,4.0,7.0,6.0,13.0,4.0,0.0,1.0,11.0,14.0,8.0,5.0,139.0,3.0,5.0,11.0,13.0,10.0,5.0,9.0,0.0,15.0,0.0,33.0,9.0,4.0,768.0,14.0,9.0,26.0,5.0,14.0,30.0,17.0,12.0
inchoative,79.0,0.0,17.0,16.0,83.0,72.0,58.0,7.0,18.0,33.0,20.0,28.0,88.0,14.0,10.0,27.0,24.0,6.0,49.0,20.0,31.0,4.0,62.0,24.0,39.0,26.0,24.0,52.0,10.0,33.0,10.0,8.0,14.0,24.0,56.0,68.0,23.0,14.0,21.0,51.0,225.0,14.0,55.0,6.0,15.0,0.0,2.0,19.0,36.0,17.0,91.0,12.0,1.0,20.0,39.0,14.0,401.0,21.0,14.0,768.0,36.0,28.0,45.0,84.0,37.0,17.0,1.0
irregular_past_participle_verbs,9.0,1.0,28.0,5.0,83.0,106.0,70.0,1.0,11.0,14.0,21.0,49.0,101.0,11.0,6.0,30.0,19.0,6.0,3.0,24.0,3.0,3.0,80.0,44.0,19.0,111.0,96.0,94.0,4.0,10.0,11.0,28.0,18.0,4.0,72.0,90.0,12.0,16.0,37.0,100.0,37.0,6.0,84.0,6.0,11.0,0.0,3.0,32.0,32.0,49.0,98.0,9.0,3.0,25.0,109.0,12.0,31.0,19.0,9.0,36.0,768.0,5.0,6.0,6.0,9.0,0.0,2.0
complex_NP_island,82.0,12.0,1.0,11.0,0.0,8.0,8.0,26.0,8.0,2.0,3.0,5.0,0.0,9.0,0.0,4.0,64.0,12.0,25.0,8.0,18.0,10.0,1.0,3.0,4.0,2.0,3.0,2.0,17.0,3.0,7.0,15.0,16.0,6.0,0.0,0.0,14.0,9.0,10.0,6.0,18.0,28.0,0.0,19.0,18.0,11.0,7.0,4.0,11.0,8.0,0.0,16.0,5.0,6.0,0.0,15.0,20.0,2.0,26.0,28.0,5.0,768.0,38.0,39.0,10.0,6.0,19.0
wh_vs_that_with_gap_long_distance,21.0,14.0,1.0,26.0,27.0,16.0,35.0,8.0,41.0,0.0,3.0,33.0,37.0,41.0,4.0,6.0,14.0,0.0,70.0,16.0,59.0,0.0,34.0,23.0,0.0,3.0,4.0,31.0,12.0,35.0,12.0,20.0,30.0,29.0,34.0,24.0,3.0,10.0,19.0,11.0,53.0,8.0,41.0,8.0,53.0,0.0,10.0,18.0,41.0,25.0,38.0,29.0,0.0,17.0,5.0,13.0,61.0,9.0,5.0,45.0,6.0,38.0,768.0,468.0,12.0,14.0,2.0
wh_vs_that_with_gap,61.0,5.0,3.0,29.0,24.0,11.0,28.0,10.0,27.0,2.0,11.0,33.0,30.0,37.0,4.0,7.0,11.0,3.0,101.0,17.0,99.0,1.0,28.0,14.0,0.0,4.0,6.0,19.0,22.0,34.0,5.0,33.0,31.0,21.0,25.0,25.0,12.0,12.0,13.0,6.0,88.0,14.0,32.0,13.0,53.0,0.0,4.0,12.0,40.0,15.0,34.0,7.0,0.0,15.0,2.0,13.0,102.0,17.0,14.0,84.0,6.0,39.0,468.0,768.0,20.0,18.0,3.0
causative,21.0,3.0,15.0,24.0,68.0,20.0,42.0,12.0,20.0,15.0,19.0,51.0,50.0,15.0,4.0,37.0,6.0,27.0,19.0,20.0,30.0,1.0,73.0,27.0,11.0,23.0,40.0,44.0,4.0,26.0,13.0,28.0,37.0,25.0,74.0,60.0,34.0,8.0,5.0,22.0,19.0,14.0,69.0,1.0,47.0,0.0,16.0,25.0,80.0,24.0,46.0,22.0,6.0,22.0,42.0,25.0,32.0,22.0,30.0,37.0,9.0,10.0,12.0,20.0,768.0,6.0,3.0
left_branch_island_echo_question,45.0,4.0,1.0,10.0,5.0,0.0,2.0,22.0,46.0,11.0,20.0,5.0,5.0,21.0,4.0,3.0,3.0,7.0,12.0,12.0,15.0,4.0,6.0,2.0,12.0,0.0,0.0,4.0,14.0,5.0,13.0,7.0,21.0,3.0,5.0,8.0,18.0,5.0,2.0,0.0,25.0,17.0,4.0,16.0,10.0,5.0,7.0,15.0,5.0,16.0,4.0,26.0,2.0,6.0,0.0,35.0,22.0,15.0,17.0,17.0,0.0,6.0,14.0,18.0,6.0,768.0,2.0
only_npi_licensor_present,2.0,20.0,0.0,2.0,0.0,0.0,0.0,15.0,5.0,1.0,18.0,3.0,0.0,18.0,4.0,11.0,5.0,9.0,0.0,3.0,3.0,197.0,0.0,1.0,2.0,0.0,0.0,0.0,13.0,5.0,0.0,9.0,1.0,8.0,0.0,0.0,24.0,15.0,9.0,0.0,0.0,12.0,0.0,11.0,6.0,20.0,21.0,6.0,4.0,0.0,0.0,1.0,17.0,4.0,0.0,17.0,0.0,3.0,12.0,1.0,2.0,19.0,2.0,3.0,3.0,2.0,768.0
