,adjunct_island,principle_A_c_command,anaphor_number_agreement,principle_A_domain_2,determiner_noun_agreement_with_adjective_1,irregular_plural_subject_verb_agreement_2,distractor_agreement_relative_clause,wh_questions_subject_gap_long_distance,left_branch_island_simple_question,wh_vs_that_no_gap_long_distance,sentential_negation_npi_licensor_present,principle_A_case_2,determiner_noun_agreement_2,principle_A_reconstruction,existential_there_quantifiers_1,npi_present_2,wh_island,wh_questions_object_gap,tough_vs_raising_1,passive_1,ellipsis_n_bar_2,only_npi_scope,determiner_noun_agreement_with_adj_irregular_1,existential_there_subject_raising,wh_vs_that_no_gap,distractor_agreement_relational_noun,regular_plural_subject_verb_agreement_1,determiner_noun_agreement_irregular_1,superlative_quantifiers_1,principle_A_domain_3,expletive_it_object_raising,passive_2,ellipsis_n_bar_1,tough_vs_raising_2,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement_with_adj_2,animate_subject_passive,anaphor_gender_agreement,irregular_past_participle_adjectives,regular_plural_subject_verb_agreement_2,drop_argument,wh_questions_subject_gap,determiner_noun_agreement_irregular_2,superlative_quantifiers_2,coordinate_structure_constraint_object_extraction,matrix_question_npi_licensor_present,animate_subject_trans,principle_A_case_1,transitive,existential_there_object_raising,determiner_noun_agreement_1,coordinate_structure_constraint_complex_left_branch,existential_there_quantifiers_2,npi_present_1,irregular_plural_subject_verb_agreement_1,principle_A_domain_1,intransitive,sentential_negation_npi_scope,sentential_subject_island,inchoative,irregular_past_participle_verbs,complex_NP_island,wh_vs_that_with_gap_long_distance,wh_vs_that_with_gap,causative,left_branch_island_echo_question,only_npi_licensor_present
coordinate_structure_constraint_object_extraction,10.0,28.0,10.0,18.0,9.0,14.0,8.0,17.0,139.0,12.0,22.0,34.0,17.0,95.0,27.0,11.0,67.0,60.0,8.0,21.0,20.0,13.0,8.0,49.0,8.0,9.0,19.0,8.0,24.0,9.0,8.0,46.0,33.0,19.0,10.0,9.0,18.0,10.0,3.0,14.0,19.0,22.0,20.0,11.0,983.0,28.0,10.0,36.0,44.0,22.0,16.0,26.0,7.0,8.0,12.0,19.0,27.0,22.0,105.0,23.0,27.0,55.0,37.0,22.0,37.0,20.0,16.0
matrix_question_npi_licensor_present,90.0,116.0,7.0,16.0,0.0,0.0,0.0,4.0,23.0,0.0,3.0,0.0,0.0,57.0,32.0,11.0,28.0,55.0,0.0,0.0,52.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,0.0,0.0,7.0,40.0,0.0,0.0,0.0,28.0,58.0,18.0,0.0,14.0,3.0,0.0,20.0,28.0,983.0,15.0,7.0,0.0,0.0,0.0,0.0,31.0,11.0,0.0,118.0,8.0,0.0,46.0,10.0,40.0,49.0,0.0,0.0,0.0,30.0,28.0
animate_subject_trans,19.0,16.0,17.0,6.0,10.0,17.0,6.0,10.0,12.0,30.0,24.0,19.0,15.0,17.0,39.0,21.0,17.0,17.0,7.0,30.0,20.0,20.0,10.0,12.0,32.0,20.0,64.0,15.0,12.0,17.0,43.0,18.0,15.0,13.0,12.0,8.0,68.0,90.0,9.0,15.0,48.0,11.0,19.0,20.0,10.0,15.0,983.0,33.0,84.0,30.0,16.0,11.0,19.0,15.0,17.0,29.0,35.0,11.0,12.0,27.0,51.0,8.0,7.0,14.0,56.0,22.0,41.0
principle_A_case_1,21.0,35.0,137.0,29.0,135.0,139.0,127.0,20.0,27.0,59.0,32.0,127.0,127.0,17.0,42.0,54.0,15.0,22.0,48.0,94.0,16.0,13.0,131.0,86.0,74.0,174.0,171.0,124.0,14.0,38.0,53.0,86.0,23.0,41.0,131.0,131.0,29.0,49.0,113.0,142.0,88.0,67.0,125.0,15.0,36.0,7.0,33.0,983.0,124.0,88.0,134.0,12.0,4.0,33.0,169.0,41.0,121.0,28.0,13.0,97.0,83.0,19.0,20.0,46.0,65.0,22.0,11.0
transitive,7.0,37.0,167.0,29.0,219.0,175.0,189.0,23.0,33.0,96.0,56.0,234.0,235.0,3.0,46.0,53.0,10.0,26.0,103.0,224.0,29.0,16.0,198.0,118.0,79.0,196.0,265.0,199.0,12.0,32.0,129.0,221.0,41.0,38.0,204.0,215.0,96.0,83.0,132.0,180.0,137.0,125.0,207.0,35.0,44.0,0.0,84.0,124.0,983.0,160.0,230.0,24.0,4.0,35.0,214.0,6.0,167.0,32.0,7.0,148.0,71.0,15.0,48.0,130.0,220.0,3.0,12.0
existential_there_object_raising,1.0,23.0,116.0,41.0,110.0,121.0,131.0,7.0,29.0,83.0,27.0,143.0,116.0,1.0,36.0,46.0,12.0,17.0,40.0,112.0,8.0,12.0,103.0,139.0,73.0,132.0,150.0,118.0,4.0,24.0,368.0,92.0,16.0,95.0,104.0,115.0,24.0,38.0,111.0,115.0,59.0,64.0,108.0,20.0,22.0,0.0,30.0,88.0,160.0,983.0,114.0,33.0,0.0,27.0,134.0,1.0,89.0,29.0,6.0,82.0,28.0,11.0,11.0,56.0,55.0,9.0,10.0
determiner_noun_agreement_1,7.0,53.0,251.0,32.0,751.0,380.0,403.0,10.0,51.0,124.0,30.0,332.0,864.0,1.0,26.0,35.0,7.0,17.0,91.0,90.0,21.0,17.0,675.0,189.0,108.0,410.0,299.0,736.0,6.0,42.0,65.0,203.0,44.0,53.0,676.0,753.0,42.0,53.0,304.0,412.0,118.0,118.0,768.0,32.0,16.0,0.0,16.0,134.0,230.0,114.0,983.0,39.0,2.0,23.0,426.0,3.0,266.0,21.0,2.0,209.0,47.0,4.0,57.0,245.0,110.0,2.0,16.0
coordinate_structure_constraint_complex_left_branch,11.0,7.0,18.0,13.0,39.0,21.0,35.0,14.0,246.0,39.0,10.0,23.0,43.0,3.0,12.0,18.0,6.0,17.0,29.0,10.0,17.0,5.0,29.0,41.0,19.0,22.0,27.0,36.0,6.0,14.0,23.0,13.0,26.0,17.0,36.0,40.0,11.0,6.0,32.0,21.0,24.0,28.0,39.0,14.0,26.0,0.0,11.0,12.0,24.0,33.0,39.0,983.0,6.0,23.0,21.0,2.0,31.0,8.0,1.0,32.0,1.0,29.0,21.0,30.0,25.0,17.0,8.0
existential_there_quantifiers_2,26.0,24.0,2.0,6.0,2.0,2.0,2.0,29.0,8.0,3.0,11.0,3.0,4.0,26.0,11.0,13.0,14.0,31.0,6.0,7.0,19.0,39.0,2.0,0.0,10.0,0.0,0.0,2.0,25.0,3.0,0.0,13.0,40.0,7.0,1.0,1.0,18.0,25.0,21.0,2.0,32.0,8.0,5.0,83.0,7.0,31.0,19.0,4.0,4.0,0.0,2.0,6.0,983.0,20.0,0.0,39.0,16.0,9.0,18.0,11.0,18.0,19.0,12.0,6.0,2.0,28.0,88.0
npi_present_1,8.0,19.0,11.0,4.0,18.0,14.0,18.0,33.0,19.0,40.0,9.0,20.0,25.0,14.0,24.0,531.0,14.0,23.0,38.0,43.0,24.0,10.0,15.0,9.0,46.0,23.0,33.0,17.0,20.0,9.0,28.0,33.0,27.0,21.0,16.0,17.0,24.0,6.0,21.0,14.0,26.0,39.0,24.0,62.0,8.0,11.0,15.0,33.0,35.0,27.0,23.0,23.0,20.0,983.0,16.0,22.0,23.0,26.0,6.0,26.0,54.0,16.0,14.0,21.0,48.0,20.0,29.0
irregular_plural_subject_verb_agreement_1,1.0,98.0,436.0,52.0,466.0,605.0,521.0,3.0,35.0,104.0,20.0,355.0,397.0,0.0,20.0,37.0,5.0,13.0,49.0,100.0,0.0,4.0,452.0,257.0,89.0,635.0,479.0,434.0,0.0,34.0,63.0,163.0,18.0,57.0,477.0,482.0,10.0,93.0,346.0,621.0,105.0,92.0,410.0,33.0,12.0,0.0,17.0,169.0,214.0,134.0,426.0,21.0,0.0,16.0,983.0,1.0,223.0,13.0,2.0,192.0,47.0,4.0,28.0,156.0,110.0,1.0,6.0
principle_A_domain_1,78.0,109.0,2.0,6.0,2.0,1.0,1.0,11.0,19.0,4.0,7.0,3.0,2.0,40.0,46.0,22.0,33.0,67.0,4.0,3.0,42.0,28.0,1.0,2.0,5.0,1.0,1.0,0.0,55.0,2.0,1.0,11.0,65.0,2.0,0.0,2.0,36.0,57.0,11.0,1.0,34.0,16.0,2.0,26.0,19.0,118.0,29.0,41.0,6.0,1.0,3.0,2.0,39.0,22.0,1.0,983.0,24.0,7.0,29.0,28.0,52.0,41.0,4.0,6.0,2.0,34.0,54.0
intransitive,42.0,46.0,167.0,30.0,246.0,213.0,207.0,18.0,38.0,101.0,45.0,162.0,260.0,3.0,32.0,31.0,14.0,21.0,110.0,51.0,31.0,12.0,236.0,105.0,81.0,190.0,198.0,240.0,6.0,21.0,57.0,112.0,49.0,40.0,242.0,245.0,35.0,46.0,144.0,207.0,335.0,82.0,249.0,34.0,27.0,8.0,35.0,121.0,167.0,89.0,266.0,31.0,16.0,23.0,223.0,24.0,983.0,25.0,9.0,459.0,60.0,18.0,29.0,179.0,149.0,13.0,13.0
sentential_negation_npi_scope,7.0,11.0,1.0,7.0,15.0,10.0,25.0,24.0,18.0,77.0,333.0,23.0,18.0,8.0,51.0,31.0,21.0,13.0,26.0,17.0,7.0,34.0,8.0,39.0,69.0,11.0,10.0,12.0,28.0,10.0,24.0,14.0,17.0,71.0,4.0,15.0,17.0,4.0,7.0,7.0,9.0,42.0,15.0,6.0,22.0,0.0,11.0,28.0,32.0,29.0,21.0,8.0,9.0,26.0,13.0,7.0,25.0,983.0,15.0,28.0,18.0,17.0,28.0,29.0,20.0,21.0,22.0
sentential_subject_island,37.0,38.0,3.0,6.0,1.0,0.0,1.0,14.0,38.0,6.0,8.0,5.0,2.0,286.0,14.0,11.0,28.0,168.0,3.0,12.0,6.0,18.0,1.0,8.0,16.0,0.0,1.0,0.0,17.0,5.0,2.0,43.0,32.0,10.0,1.0,1.0,20.0,22.0,6.0,0.0,23.0,11.0,1.0,15.0,105.0,46.0,12.0,13.0,7.0,6.0,2.0,1.0,18.0,6.0,2.0,29.0,9.0,15.0,983.0,10.0,37.0,38.0,14.0,5.0,8.0,31.0,17.0
inchoative,28.0,46.0,150.0,16.0,193.0,173.0,162.0,14.0,35.0,87.0,47.0,140.0,201.0,5.0,36.0,36.0,12.0,17.0,98.0,56.0,26.0,13.0,196.0,113.0,63.0,154.0,192.0,193.0,7.0,15.0,57.0,95.0,36.0,40.0,193.0,196.0,35.0,46.0,126.0,175.0,221.0,72.0,196.0,40.0,23.0,10.0,27.0,97.0,148.0,82.0,209.0,32.0,11.0,26.0,192.0,28.0,459.0,28.0,10.0,983.0,54.0,11.0,19.0,133.0,161.0,14.0,18.0
irregular_past_participle_verbs,36.0,22.0,24.0,6.0,31.0,37.0,42.0,18.0,17.0,44.0,35.0,52.0,48.0,42.0,28.0,57.0,30.0,52.0,18.0,60.0,31.0,15.0,27.0,21.0,61.0,46.0,78.0,48.0,36.0,3.0,11.0,64.0,43.0,27.0,29.0,30.0,36.0,47.0,23.0,35.0,77.0,55.0,43.0,20.0,27.0,40.0,51.0,83.0,71.0,28.0,47.0,1.0,18.0,54.0,47.0,52.0,60.0,18.0,37.0,54.0,983.0,22.0,5.0,19.0,52.0,31.0,20.0
complex_NP_island,85.0,30.0,3.0,2.0,5.0,2.0,8.0,8.0,50.0,10.0,14.0,9.0,6.0,22.0,19.0,18.0,94.0,27.0,10.0,17.0,28.0,11.0,7.0,18.0,15.0,4.0,6.0,2.0,17.0,4.0,8.0,27.0,24.0,19.0,5.0,7.0,21.0,13.0,5.0,2.0,16.0,20.0,6.0,14.0,55.0,49.0,8.0,19.0,15.0,11.0,4.0,29.0,19.0,16.0,4.0,41.0,18.0,17.0,38.0,11.0,22.0,983.0,31.0,11.0,12.0,21.0,15.0
wh_vs_that_with_gap_long_distance,36.0,7.0,8.0,15.0,51.0,22.0,26.0,10.0,26.0,0.0,29.0,46.0,60.0,6.0,29.0,15.0,17.0,8.0,52.0,29.0,18.0,19.0,42.0,20.0,0.0,25.0,18.0,50.0,2.0,10.0,5.0,31.0,19.0,35.0,39.0,47.0,19.0,1.0,14.0,26.0,27.0,5.0,51.0,10.0,37.0,0.0,7.0,20.0,48.0,11.0,57.0,21.0,12.0,14.0,28.0,4.0,29.0,28.0,14.0,19.0,5.0,31.0,983.0,409.0,30.0,14.0,18.0
wh_vs_that_with_gap,39.0,26.0,98.0,28.0,233.0,157.0,153.0,11.0,32.0,36.0,31.0,167.0,247.0,7.0,24.0,28.0,6.0,10.0,126.0,50.0,35.0,20.0,203.0,80.0,17.0,159.0,119.0,233.0,7.0,12.0,25.0,102.0,43.0,26.0,208.0,230.0,25.0,23.0,111.0,171.0,104.0,34.0,234.0,33.0,22.0,0.0,14.0,46.0,130.0,56.0,245.0,30.0,6.0,21.0,156.0,6.0,179.0,29.0,5.0,133.0,19.0,11.0,409.0,983.0,87.0,14.0,22.0
causative,18.0,28.0,91.0,39.0,104.0,96.0,102.0,10.0,25.0,61.0,35.0,110.0,108.0,9.0,24.0,51.0,10.0,10.0,64.0,63.0,25.0,22.0,97.0,58.0,40.0,91.0,159.0,88.0,5.0,32.0,38.0,77.0,27.0,27.0,102.0,97.0,40.0,33.0,51.0,96.0,111.0,59.0,102.0,17.0,37.0,0.0,56.0,65.0,220.0,55.0,110.0,25.0,2.0,48.0,110.0,2.0,149.0,20.0,8.0,161.0,52.0,12.0,30.0,87.0,983.0,5.0,12.0
left_branch_island_echo_question,12.0,7.0,2.0,9.0,2.0,0.0,0.0,21.0,49.0,13.0,14.0,1.0,2.0,21.0,13.0,18.0,18.0,24.0,7.0,13.0,23.0,9.0,2.0,3.0,19.0,0.0,5.0,1.0,35.0,4.0,4.0,15.0,32.0,20.0,3.0,2.0,17.0,9.0,7.0,0.0,14.0,26.0,3.0,23.0,20.0,30.0,22.0,22.0,3.0,9.0,2.0,17.0,28.0,20.0,1.0,34.0,13.0,21.0,31.0,14.0,31.0,21.0,14.0,14.0,5.0,983.0,20.0
only_npi_licensor_present,17.0,23.0,4.0,8.0,12.0,2.0,10.0,16.0,13.0,11.0,28.0,17.0,19.0,18.0,21.0,22.0,22.0,34.0,11.0,10.0,31.0,247.0,13.0,2.0,6.0,6.0,5.0,14.0,46.0,17.0,7.0,12.0,40.0,11.0,11.0,12.0,31.0,19.0,11.0,1.0,18.0,14.0,18.0,35.0,16.0,28.0,41.0,11.0,12.0,10.0,16.0,8.0,88.0,29.0,6.0,54.0,13.0,22.0,17.0,18.0,20.0,15.0,18.0,22.0,12.0,20.0,983.0
